Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1000.0,1.2345,-0.5678,0.9123,-1.3456,0.7890,-0.1234,1.4567,-0.8901,0.2345,-1.5678,0.6789,-0.2345,1.8901,-0.4567,1.2345.1,-0.6789,0.3456,-1.0123,0.7890.1,-0.3456,1.4567.1,-0.7890,0.1234,-1.4567,0.8901,-0.2345.1,1.6789,-0.5678.1,123.45,1
1500.0,-0.9876,1.2345,-0.6789,1.0123,-0.4567,1.789,-0.1234,1.5678,-0.2345,1.8901,-0.6789,1.3456,-0.789,1.0123,-0.4567,1.2345,-0.8901,1.5678,-0.1234,1.4567,-0.789,1.2345,-0.6789,1.8901,-0.3456,1.6789,-0.5678,1.2345,234.56,1.0
2000.0,0.4567,-1.2345,0.789,-0.1234,1.5678,-0.8901,0.2345,-1.4567,0.6789,-0.3456,1.0123,-0.789,0.4567,-1.2345,0.8901,-0.5678,1.3456,-0.2345,1.6789,-0.789,0.1234,-1.5678,0.8901,-0.4567,1.2345,-0.789,0.5678,-1.0123,345.67,1.0
2500.0,-1.3456,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.5678,-1.8901,0.3456,-1.6789,0.789,-1.0123,0.4567,-1.2345,0.6789,-1.5678,0.8901,-1.0123,0.3456,-1.789,0.1234,-1.4567,0.8901,-1.2345,0.5678,456.78,1.0
3000.0,1.6789,-0.3456,1.0123,-0.789,1.2345,-0.5678,1.8901,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.789,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,567.89,1.0
3500.0,-0.789,1.3456,-0.2345,1.6789,-0.5678,1.0123,-0.4567,1.2345,-0.789,1.5678,-0.1234,1.8901,-0.6789,1.0123,-0.3456,1.4567,-0.789,1.2345,-0.5678,1.6789,-0.1234,1.8901,-0.4567,1.0123,-0.789,1.2345,-0.5678,1.4567,678.9,1.0
4000.0,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,789.01,1.0
4500.0,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,890.12,1.0
5000.0,1.8901,-0.6789,1.2345,-0.5678,1.0123,-0.3456,1.789,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,901.23,1.0
6000.0,1.0123,-0.4567,1.2345,-0.789,1.6789,-0.3456,1.5678,-0.8901,1.0123,-0.1234,1.4567,-0.789,1.2345,-0.5678,1.8901,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.0123,-0.6789,1.4567,-0.789,1.2345,-0.5678,1.8901,-0.3456,234.56,1.0
6500.0,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,123.45,1.0
7000.0,0.6789,-1.2345,0.5678,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,345.67,1.0
7500.0,-0.5678,1.2345,-0.789,1.0123,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,1.5678,456.78,1.0
8000.0,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,1.5678,-0.8901,567.89,1.0
8500.0,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,678.9,1.0
9000.0,0.3456,-1.6789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,789.01,1.0
9500.0,-0.8901,1.4567,-0.5678,1.0123,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.2345,-0.6789,1.4567,-0.789,1.0123,-0.3456,1.6789,-0.1234,1.5678,890.12,1.0
10000.0,1.2345,-0.5678,1.8901,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.0123,-0.6789,1.4567,-0.789,1.2345,-0.5678,1.8901,-0.3456,1.6789,-0.1234,1.5678,-0.8901,1.0123,-0.6789,1.4567,-0.789,1.2345,-0.5678,1.8901,-0.3456,901.23,1.0
10500.0,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,12.34,1.0
11000.0,0.5678,-1.2345,0.789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,0.4567,-1.789,0.1234,-1.5678,0.8901,-1.2345,0.6789,-1.0123,23.45,1.0
